planet_name,actual_radius,actual_mass,actual_temp,actual_esi,actual_habitability,predicted_mass,predicted_temp,predicted_esi,predicted_habitability,mass_error,temp_error,esi_error
HAT-P-30 Ab,1.41,0.723,1712.0,0.6733005579829624,Moderate,1.8143839842852683,1800.994897293761,0.642411242149348,Moderate,-1.0913839842852684,-88.99489729376091,0.030889315833614428
HAT-P-34 b,1.142,3.64,1288.0,0.647934371838538,Moderate,1.777711806433107,1325.7404215265938,0.7256490137240431,Moderate,1.8622881935668931,-37.740421526593764,-0.07771464188550514
HAT-P-42 b,1.277,0.975,1427.0,0.7444737162124181,Moderate,1.6893886992352325,1149.7845299146693,0.7225243402201987,Moderate,-0.7143886992352325,277.2154700853307,0.021949375992219355
HAT-P-43 b,1.283,0.66,1361.0,0.7128304405905421,Moderate,1.5400900167287679,1421.68900660097,0.7060921855192555,Moderate,-0.8800900167287679,-60.68900660097006,0.0067382550712866696
HAT-P-49 b,1.448,1.73,2193.0,0.6195027318745767,Moderate,2.2789394946222683,2172.830059567884,0.5949096042529167,Moderate,-0.5489394946222683,20.169940432116164,0.024593127621659994
HAT-P-50 b,1.288,1.36,1862.0,0.685111265912957,Moderate,1.8107651874378967,1782.9388776355097,0.6630640093307987,Moderate,-0.4507651874378966,79.0611223644903,0.022047256582158337
HAT-P-51 Ab,1.293,0.309,1192.0,0.6444959172062411,Moderate,1.4642735503660482,1137.9335811728736,0.7354783143442625,Moderate,-1.1552735503660483,54.06641882712643,-0.09098239713802136
HAT-P-52 b,1.009,0.819,1218.0,0.8034127350148382,High,1.0946602662842402,1189.4740624398528,0.8174286014726821,High,-0.27566026628424023,28.525937560147213,-0.014015866457843917
HAT-P-53 b,1.318,1.487,1778.0,0.6772707865818108,Moderate,1.625875727228534,1804.8240316616732,0.6671357833551713,Moderate,-0.13887572722853392,-26.82403166167319,0.010135003226639516
HAT-P-55 b,1.182,0.582,1313.0,0.7227661717932322,Moderate,1.4046846345839845,1489.176470417886,0.7280677720466813,Moderate,-0.8226846345839846,-176.1764704178861,-0.005301600253449057
HAT-P-56 b,1.51,2.31,1840.0,0.6024759410049977,Moderate,2.1912330260666106,1921.5215341680375,0.6030097928953454,Moderate,0.11876697393338942,-81.52153416803753,-0.0005338518903477141
HAT-P-57 Ab,1.413,1.85,2200.0,0.6181109349416845,Moderate,2.160047579287203,2319.9316602849763,0.5979461107258096,Moderate,-0.31004757928720306,-119.93166028497626,0.020164824215874844
HAT-P-58 b,1.332,0.372,1622.0,0.6262243909697788,Moderate,1.565607178889966,1431.1941865009537,0.6952235866501351,Moderate,-1.193607178889966,190.80581349904628,-0.06899919568035628
HAT-P-59 b,1.123,1.54,1277.0,0.74908719516824,Moderate,1.3343897745799982,1252.939646209355,0.766143277298207,Moderate,0.20561022542000185,24.060353790644967,-0.01705608212996701
HAT-P-60 b,1.631,0.574,1772.0,0.6164598745068262,Moderate,2.3216128529762847,1490.8443381360346,0.6074377074767939,Moderate,-1.7476128529762849,281.1556618639654,0.009022167030032224
HAT-P-61 b,0.899,1.057,1505.0,0.7674186381214899,Moderate,1.1305872225317128,1598.641193847907,0.7535283247458987,Moderate,-0.0735872225317129,-93.64119384790706,0.013890313375591212
HAT-P-62 b,1.073,0.761,1512.0,0.7543731270597706,Moderate,1.3150348404263252,1457.0497779276097,0.7589918191450926,Moderate,-0.5540348404263252,54.95022207239026,-0.0046186920853220625
HAT-P-63 b,1.119,0.614,1237.0,0.7478608391961994,Moderate,1.2419917953306747,1187.0142059975517,0.7809240230004546,Moderate,-0.6279917953306747,49.9857940024483,-0.033063183804255214
HAT-P-64 b,1.703,0.58,1766.0,0.6083219226855243,Moderate,2.2266625716608157,1731.6631566018734,0.587066287729964,Moderate,-1.6466625716608156,34.336843398126575,0.021255634955560265
HAT-P-65 b,1.89,0.527,1930.0,0.5685096978683746,Moderate,2.299067493338759,1588.4371268028017,0.5705581893413839,Moderate,-1.772067493338759,341.5628731971983,-0.0020484914730093395
HAT-P-67 Ab,2.14,0.45,1903.0,0.530462094759039,Moderate,2.6263887544854456,1687.1905506361977,0.5270571281866876,Moderate,-2.1763887544854454,215.8094493638023,0.0034049665723514533
HAT-P-68 b,1.072,0.724,1028.0,0.798089243177823,Moderate,0.9067963893286392,983.3854037724768,0.8269288558139551,High,-0.18279638932863917,44.61459622752318,-0.028839612636132106
HAT-P-69 b,1.676,3.58,1990.0,0.5317795193396294,Moderate,2.6744536085195767,2212.22656221597,0.5490996935058425,Moderate,0.9055463914804234,-222.2265622159698,-0.01732017416621312
HAT-P-6 b,1.275,1.11,1723.0,0.7147624286245067,Moderate,1.8187629947025572,1787.8169385093963,0.6644737292111338,Moderate,-0.7087629947025571,-64.81693850939632,0.050288699413372884
HAT-P-70 b,1.87,6.78,2562.0,0.4325352760482528,Low,3.082057842087951,2357.6078922923475,0.509223586208472,Moderate,3.697942157912049,204.39210770765249,-0.07668831016021915
HAT-P-7 Ab,1.51,1.79,2200.0,0.6073449573867901,Moderate,2.1049235792736214,2055.7477397402427,0.5997090299669608,Moderate,-0.31492357927362136,144.25226025975735,0.007635927419829214
HAT-P-8 Ab,1.42,1.35,1726.0,0.6729398283446556,Moderate,1.947836567018407,1754.8266875816219,0.6369445817898981,Moderate,-0.5978365670184069,-28.826687581621854,0.0359952465547575
HATS-10 b,0.969,0.526,1407.0,0.7331084508851424,Moderate,1.3092561937506564,1507.7709193648457,0.7637376738606498,Moderate,-0.7832561937506564,-100.77091936484567,-0.03062922297550741
HATS-11 b,1.609,0.85,1596.0,0.6649958634487253,Moderate,1.8577634185859138,1351.529754094969,0.6422267116574062,Moderate,-1.0077634185859137,244.4702459050311,0.02276915179131911
HATS-12 b,0.692,2.38,1446.0,0.6340450303633396,Moderate,1.1223254105779445,1700.898004049536,0.686580565790661,Moderate,1.2576745894220553,-254.89800404953598,-0.05253553542732137
HATS-13 b,1.212,0.543,1244.0,0.7161582809893835,Moderate,1.3723142400929418,1238.287231880296,0.7470748382462822,Moderate,-0.8293142400929417,5.712768119703924,-0.03091655725689868
HATS-17 b,0.777,1.338,814.0,0.7849754683516397,Moderate,1.167179499224773,825.9312666339708,0.7970749084853089,Moderate,0.17082050077522704,-11.931266633970836,-0.01209944013366926
HATS-18 b,1.337,1.98,2060.0,0.630323745155691,Moderate,1.5773529437491387,1988.3225592355063,0.6557771361415784,Moderate,0.4026470562508613,71.67744076449367,-0.025453390985887392
HATS-19 b,1.66,0.427,1570.0,0.5975822867450231,Moderate,2.1925443584952378,1362.5401312586318,0.6183711884229418,Moderate,-1.7655443584952377,207.45986874136815,-0.020788901677918692
HATS-20 b,0.776,0.273,1147.0,0.6350145583939925,Moderate,0.9049461514791152,1196.6569702729469,0.7573073463317871,Moderate,-0.6319461514791151,-49.656970272946864,-0.12229278793779463
HATS-21 b,1.123,0.332,1284.0,0.6737243991283448,Moderate,1.4289743840714997,1430.3477768996363,0.7428096010016083,Moderate,-1.0969743840714996,-146.3477768996363,-0.0690852018732635
